login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
midudev,midudev/landing-infojobs,2024-10-16T17:28:51Z,107,107,Astro,True,True,
midudev,midudev/midu.dev,2018-11-20T21:29:52Z,451,451,HTML,False,False,gpl-3.0
midudev,midudev/midudev-issues,2024-10-16T09:58:41Z,11,11,,True,True,
midudev,midudev/cloudinary-hackathon-astro-example,2024-10-08T17:46:11Z,33,33,Astro,True,True,
midudev,midudev/javascript-100-proyectos,2024-02-14T12:00:57Z,2186,2186,HTML,True,True,other
midudev,midudev/jsconf.es,2024-07-19T10:40:40Z,33,33,Astro,True,True,
midudev,midudev/ejercicios-logica-de-programacion,2024-10-01T09:20:42Z,52,52,,True,True,
midudev,midudev/codi.link,2021-07-26T20:03:26Z,640,640,JavaScript,True,True,other
midudev,midudev/miduconf-website,2022-04-12T12:50:53Z,574,574,TypeScript,True,True,
midudev,midudev/eloquent-javascript-es,2024-03-09T17:17:48Z,474,474,HTML,True,True,
midudev,midudev/astro-5-dev-books,2024-09-18T17:34:39Z,81,81,Astro,True,True,
midudev,midudev/jsconf.com,2024-09-13T09:24:58Z,6,6,Pug,True,True,apache-2.0
midudev,midudev/midudev,2020-07-17T18:30:39Z,993,993,JavaScript,True,True,
midudev,midudev/preguntas-entrevista-react,2022-08-28T11:07:28Z,6979,6979,JavaScript,False,False,mit
midudev,midudev/cursoreact.dev,2024-05-23T11:45:04Z,193,193,Astro,True,True,
midudev,midudev/tailwind-animations,2024-02-06T17:07:42Z,533,533,JavaScript,True,True,mit
midudev,midudev/porfolio.dev,2023-12-26T19:25:03Z,1084,1084,Astro,True,True,other
midudev,midudev/esland-web,2023-12-28T17:06:46Z,397,397,TypeScript,True,True,
midudev,midudev/midudev-aprender-tdd,2024-08-15T20:51:03Z,23,23,JavaScript,True,True,
midudev,midudev/pokedex-for-ci,2021-08-08T11:28:08Z,120,120,JavaScript,True,True,
midudev,midudev/aprendiendo-react,2019-05-26T16:01:51Z,7620,7620,TypeScript,False,False,
midudev,midudev/aprendiendogit.dev,2024-05-07T16:38:55Z,53,53,Astro,True,True,
midudev,midudev/password-generator,2022-09-28T16:35:42Z,435,435,JavaScript,True,True,mit
midudev,midudev/midu.link,2021-04-02T20:13:57Z,30,30,JavaScript,True,True,
midudev,midudev/minimalist-portfolio-json,2024-01-30T17:13:02Z,793,793,Astro,True,True,mit
midudev,midudev/super-midu-bros,2024-07-17T17:52:08Z,121,121,JavaScript,True,True,
midudev,midudev/actas-2024,2024-08-01T15:04:40Z,42,42,,True,True,
midudev,midudev/midufest,2022-12-22T10:05:05Z,152,152,Astro,True,True,
midudev,midudev/react-native-expo-curso-2024,2024-07-11T07:45:22Z,185,185,JavaScript,True,True,
midudev,midudev/la-velada-web-oficial,2024-02-21T17:15:07Z,1388,1388,Astro,False,False,other
midudev,midudev/hackaton-vercel-2024,2024-07-09T07:47:26Z,212,212,TypeScript,False,False,
midudev,midudev/curso-node-js,2023-07-20T07:26:46Z,1325,1325,JavaScript,False,False,
midudev,midudev/libros-programacion-gratis,2022-11-24T15:06:32Z,3156,3156,,True,True,
midudev,midudev/noticias.dev,2023-06-06T08:59:51Z,176,176,MDX,True,True,other
midudev,midudev/midu-translate-gemini,2024-05-10T11:19:11Z,53,53,TypeScript,True,True,
midudev,midudev/react,2024-04-20T21:01:56Z,30,30,JavaScript,True,True,mit
midudev,midudev/curso-php,2024-04-03T17:48:34Z,149,149,PHP,True,True,
midudev,midudev/pruebas-tecnicas,2023-07-13T09:45:57Z,698,698,Astro,True,False,cc0-1.0
midudev,midudev/spotify-twitch-clone,2023-10-04T17:52:55Z,325,325,Astro,True,True,
midudev,midudev/midu-timeszones-latam,2022-08-31T20:14:02Z,237,237,JavaScript,True,True,
midudev,midudev/chat-with-pdf,2024-02-01T19:00:48Z,106,106,TypeScript,True,True,
midudev,midudev/librecounter,2024-02-12T09:16:56Z,13,13,,True,True,gpl-3.0
midudev,midudev/landing-tesla,2023-05-12T18:03:28Z,310,310,Astro,True,True,
midudev,midudev/sueldos.dev,2023-03-14T14:41:26Z,273,273,JavaScript,True,False,
midudev,midudev/pixel-wars,2023-12-20T17:01:28Z,50,50,TypeScript,True,True,
midudev,midudev/aprendesql.dev,2023-12-21T16:38:03Z,26,26,,True,True,
midudev,midudev/last-time-visit,2023-12-13T18:27:16Z,65,65,TypeScript,True,True,
midudev,midudev/twitter-clone,2023-08-15T16:16:14Z,150,150,TypeScript,True,True,
midudev,midudev/image-to-code,2023-11-30T18:48:14Z,57,57,TypeScript,True,True,
midudev,midudev/react-rendering-strategies,2019-06-05T17:55:31Z,321,321,JavaScript,True,True,
midudev,midudev/react-slidy,2016-09-13T06:58:44Z,151,151,JavaScript,True,True,mit
midudev,midudev/curso-html-desde-cero,2023-10-11T08:00:09Z,55,55,,True,True,
midudev,midudev/tetris-code-interview,2023-09-20T17:48:13Z,98,98,JavaScript,True,True,
midudev,midudev/bun-deploy-app,2023-09-15T15:47:17Z,17,17,TypeScript,True,True,
midudev,midudev/rest-api-deploy,2023-08-10T16:17:34Z,41,41,JavaScript,True,True,
midudev,midudev/devsleague.com,2023-04-17T20:40:11Z,38,38,JavaScript,True,True,
midudev,midudev/view-transitions-api-books-demo,2023-07-04T17:59:58Z,89,89,Astro,True,True,
midudev,midudev/threads-api,2023-07-11T17:55:04Z,90,90,TypeScript,True,True,
midudev,midudev/minecraft-clone,2022-11-10T21:19:47Z,101,101,JavaScript,True,True,
midudev,midudev/awesome-dev-tools,2023-06-02T12:58:13Z,33,33,,True,True,
midudev,midudev/chat-gpt-plugins-javascript,2023-05-30T17:55:54Z,57,57,JavaScript,True,True,
midudev,midudev/covid-vacuna,2021-01-19T21:23:48Z,365,365,JavaScript,False,False,apache-2.0
midudev,midudev/la-velada-landing,2023-05-17T18:01:12Z,104,104,Astro,True,True,
midudev,midudev/infojobs-hackathon,2023-05-16T18:18:58Z,43,43,TypeScript,True,True,
midudev,midudev/contact-form-vercel-storage,2023-05-02T18:05:40Z,27,27,TypeScript,True,True,
midudev,midudev/aprende-javascript-problemas,2023-04-20T08:10:22Z,122,122,,True,True,
midudev,midudev/openui.com,2023-03-11T17:54:33Z,295,295,JavaScript,True,True,
midudev,midudev/midu-chatgpt-clone,2023-02-14T19:04:35Z,125,125,JavaScript,True,True,
midudev,midudev/playing-with-trpc-10,2022-08-30T19:27:54Z,20,20,TypeScript,True,True,
midudev,midudev/covid-19-spread-simulator,2020-03-15T21:54:36Z,138,138,JavaScript,True,True,isc
midudev,midudev/miduco,2023-02-28T18:51:11Z,82,82,JavaScript,True,True,
midudev,midudev/remove-bg-cloudinary-hackathon,2023-02-21T18:50:59Z,75,75,Svelte,True,True,
midudev,midudev/midu-cohere-hackathon,2023-01-24T18:54:44Z,81,81,JavaScript,True,True,
midudev,midudev/kings-league-project,2023-01-03T17:20:23Z,1515,1515,JavaScript,True,True,mit
midudev,midudev/manitas.dev,2023-01-20T09:23:53Z,27,27,Astro,True,True,
midudev,midudev/supabase-remix-midu-chat,2023-01-19T19:03:34Z,27,27,TypeScript,True,True,
midudev,midudev/webpack-paso-a-paso-live-coding,2020-04-03T22:45:32Z,30,30,JavaScript,True,True,
midudev,midudev/komic.app,2019-07-08T19:10:21Z,8,8,CSS,True,True,
midudev,midudev/react-live-coding,2020-04-24T21:06:21Z,545,545,JavaScript,True,True,
midudev,midudev/curso-platzi-react-avanzado,2019-04-17T13:50:29Z,183,183,JavaScript,True,True,
midudev,midudev/deno-fresh-blog,2022-12-20T19:12:49Z,20,20,TypeScript,True,True,
midudev,midudev/campanadas.dev,2022-11-09T14:23:58Z,13,13,TypeScript,True,True,
midudev,midudev/devfolio,2022-11-07T14:33:21Z,13,13,,True,True,
midudev,midudev/midu-excel,2022-10-20T20:03:33Z,47,47,JavaScript,True,True,
midudev,midudev/loadingDots,2013-04-16T15:42:27Z,9,9,CSS,True,True,other
midudev,midudev/frontend-mentor-challenges,2022-09-20T18:43:59Z,61,61,Astro,True,True,
midudev,midudev/black-friday-app-autocomplete,2021-11-29T11:59:16Z,20,20,JavaScript,True,True,
midudev,midudev/aprendiendo-electron,2022-08-18T19:36:46Z,25,25,JavaScript,True,True,
midudev,midudev/libro-aprendiendo-git-issues,2021-08-30T13:35:47Z,69,69,,True,True,
midudev,midudev/chat-hackathon,2022-07-03T08:56:35Z,20,20,Svelte,True,True,
midudev,midudev/rate-repository-app,2021-07-18T14:34:25Z,70,70,JavaScript,True,True,
midudev,midudev/midu-weather,2022-05-20T10:02:18Z,17,17,Svelte,True,True,
midudev,midudev/react-router-dom-6-protected-route-example,2022-05-15T10:39:43Z,23,23,JavaScript,True,True,
